Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Node21px 	 Node21py 	 Node21pz 	 Node22px 	 Node22py 	 Node22pz 	 Node23px 	 Node23py 	 Node23pz 	 Node24px 	 Node24py 	 Node24pz 	 Node25px 	 Node25py 	 Node25pz 	 Node26px 	 Node26py 	 Node26pz 	 Node27px 	 Node27py 	 Node27pz 	 Node28px 	 Node28py 	 Node28pz 	 Node29px 	 Node29py 	 Node29pz 	 Node30px 	 Node30py 	 Node30pz 	 Node31px 	 Node31py 	 Node31pz 	 Node32px 	 Node32py 	 Node32pz 	 Node33px 	 Node33py 	 Node33pz 	 Node34px 	 Node34py 	 Node34pz 	 Node35px 	 Node35py 	 Node35pz 	 Node36px 	 Node36py 	 Node36pz 	 Node37px 	 Node37py 	 Node37pz 	 Node38px 	 Node38py 	 Node38pz 	 Node39px 	 Node39py 	 Node39pz 	 Node40px 	 Node40py 	 Node40pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 Seg20Te 	 Seg21Te 	 Seg22Te 	 Seg23Te 	 Seg24Te 	 Seg25Te 	 Seg26Te 	 Seg27Te 	 Seg28Te 	 Seg29Te 	 Seg30Te 	 Seg31Te 	 Seg32Te 	 Seg33Te 	 Seg34Te 	 Seg35Te 	 Seg36Te 	 Seg37Te 	 Seg38Te 	 Seg39Te 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(m) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	(N) 	
0	 -1.385	 -0.423	 -0.5	 -1.34933	 -0.414035	 -0.500044	 -1.31367	 -0.40507	 -0.500045	 -1.278	 -0.396105	 -0.500045	 -1.24234	 -0.38714	 -0.500045	 -1.20667	 -0.378175	 -0.500045	 -1.17101	 -0.369211	 -0.500045	 -1.13534	 -0.360246	 -0.500045	 -1.09968	 -0.351281	 -0.500045	 -1.06401	 -0.342316	 -0.500045	 -1.02835	 -0.333351	 -0.500045	 -0.992681	 -0.324386	 -0.500045	 -0.957016	 -0.315421	 -0.500045	 -0.92135	 -0.306456	 -0.500045	 -0.885685	 -0.297491	 -0.500045	 -0.85002	 -0.288526	 -0.500045	 -0.814354	 -0.279561	 -0.500044	 -0.778689	 -0.270597	 -0.500006	 -0.743067	 -0.261643	 -0.498173	 -0.707597	 -0.252727	 -0.494313	 -0.67238	 -0.243875	 -0.488464	 -0.637519	 -0.235112	 -0.480657	 -0.603104	 -0.226461	 -0.470949	 -0.569208	 -0.217941	 -0.459442	 -0.535907	 -0.20957	 -0.446196	 -0.503252	 -0.201362	 -0.431316	 -0.471272	 -0.193324	 -0.414931	 -0.440005	 -0.185464	 -0.39712	 -0.409482	 -0.177792	 -0.377966	 -0.379716	 -0.17031	 -0.357563	 -0.350706	 -0.163018	 -0.336011	 -0.322444	 -0.155914	 -0.313404	 -0.294933	 -0.148999	 -0.289813	 -0.26817	 -0.142272	 -0.265302	 -0.242136	 -0.135727	 -0.239947	 -0.216806	 -0.129361	 -0.213823	 -0.192163	 -0.123166	 -0.186988	 -0.168182	 -0.117138	 -0.159501	 -0.144838	 -0.111271	 -0.131414	 -0.122117	 -0.105559	 -0.102767	 -0.1	 -0.1	 -0.0736	 0.318749	 0.318749	 0.31875	 0.31875	 0.318751	 0.318752	 0.318753	 0.318754	 0.318756	 0.318757	 0.318759	 0.318761	 0.318763	 0.318766	 0.318768	 0.31877	 0.318773	 0.319171	 0.320551	 0.3229	 0.326204	 0.330447	 0.335587	 0.341586	 0.348406	 0.355978	 0.36425	 0.373189	 0.382753	 0.392893	 0.403559	 0.414711	 0.426319	 0.438351	 0.450766	 0.463532	 0.47662	 0.49	 0.503651	 0.517555	 
0.0270833	 -1.385	 -0.423	 -0.5	 -1.34933	 -0.414035	 -0.500044	 -1.31367	 -0.40507	 -0.500045	 -1.278	 -0.396105	 -0.500045	 -1.24234	 -0.38714	 -0.500045	 -1.20667	 -0.378175	 -0.500045	 -1.17101	 -0.369211	 -0.500045	 -1.13534	 -0.360246	 -0.500045	 -1.09968	 -0.351281	 -0.500045	 -1.06401	 -0.342316	 -0.500045	 -1.02835	 -0.333351	 -0.500045	 -0.992681	 -0.324386	 -0.500045	 -0.957016	 -0.315421	 -0.500045	 -0.92135	 -0.306456	 -0.500045	 -0.885685	 -0.297491	 -0.500045	 -0.850019	 -0.288526	 -0.500045	 -0.814354	 -0.279561	 -0.500044	 -0.778689	 -0.270596	 -0.500006	 -0.743067	 -0.261643	 -0.498168	 -0.707596	 -0.252726	 -0.494315	 -0.67238	 -0.243875	 -0.48846	 -0.63752	 -0.235112	 -0.480646	 -0.603104	 -0.226461	 -0.470944	 -0.569209	 -0.217941	 -0.459434	 -0.535902	 -0.209569	 -0.446202	 -0.503241	 -0.20136	 -0.431336	 -0.471266	 -0.193322	 -0.414942	 -0.440003	 -0.185464	 -0.397124	 -0.409482	 -0.177792	 -0.377966	 -0.379717	 -0.17031	 -0.357561	 -0.350705	 -0.163018	 -0.336013	 -0.322444	 -0.155914	 -0.313405	 -0.294938	 -0.149	 -0.289808	 -0.268175	 -0.142273	 -0.265296	 -0.242138	 -0.135728	 -0.239944	 -0.216811	 -0.129362	 -0.213818	 -0.192168	 -0.123168	 -0.186983	 -0.168183	 -0.117139	 -0.159499	 -0.144835	 -0.11127	 -0.131416	 -0.122113	 -0.105558	 -0.102771	 -0.1	 -0.1	 -0.0736	 0.318754	 0.318754	 0.318755	 0.318756	 0.318758	 0.31876	 0.318762	 0.318765	 0.318768	 0.318771	 0.318774	 0.318778	 0.318781	 0.318784	 0.318787	 0.31879	 0.318793	 0.319194	 0.320571	 0.322916	 0.326222	 0.330462	 0.335598	 0.341588	 0.348392	 0.355959	 0.364233	 0.373172	 0.382734	 0.39287	 0.40353	 0.41468	 0.426287	 0.438314	 0.450725	 0.463489	 0.476572	 0.489945	 0.503591	 0.517494	 
0.0453125	 -1.385	 -0.423	 -0.5	 -1.34933	 -0.414035	 -0.500044	 -1.31367	 -0.40507	 -0.500045	 -1.278	 -0.396105	 -0.500045	 -1.24234	 -0.38714	 -0.500045	 -1.20667	 -0.378175	 -0.500045	 -1.17101	 -0.36921	 -0.500045	 -1.13534	 -0.360246	 -0.500045	 -1.09968	 -0.351281	 -0.500045	 -1.06401	 -0.342316	 -0.500045	 -1.02835	 -0.333351	 -0.500045	 -0.992681	 -0.324386	 -0.500045	 -0.957015	 -0.315421	 -0.500045	 -0.92135	 -0.306456	 -0.500045	 -0.885684	 -0.297491	 -0.500045	 -0.850019	 -0.288526	 -0.500045	 -0.814354	 -0.279561	 -0.500044	 -0.778688	 -0.270596	 -0.500006	 -0.743066	 -0.261642	 -0.498177	 -0.707596	 -0.252726	 -0.494315	 -0.672383	 -0.243875	 -0.488446	 -0.637523	 -0.235113	 -0.480628	 -0.603105	 -0.226461	 -0.470934	 -0.569211	 -0.217942	 -0.459421	 -0.535899	 -0.209568	 -0.446203	 -0.503229	 -0.201356	 -0.43136	 -0.471254	 -0.193319	 -0.414963	 -0.440002	 -0.185464	 -0.397126	 -0.409484	 -0.177793	 -0.377962	 -0.379713	 -0.170309	 -0.357567	 -0.3507	 -0.163016	 -0.33602	 -0.322449	 -0.155915	 -0.3134	 -0.294949	 -0.149003	 -0.289794	 -0.268185	 -0.142275	 -0.265285	 -0.242145	 -0.13573	 -0.239937	 -0.216813	 -0.129362	 -0.213815	 -0.192163	 -0.123166	 -0.186987	 -0.168176	 -0.117137	 -0.159505	 -0.144836	 -0.11127	 -0.131415	 -0.122119	 -0.10556	 -0.102765	 -0.1	 -0.1	 -0.0736	 0.3188	 0.3188	 0.318799	 0.318799	 0.318799	 0.318799	 0.318798	 0.318798	 0.318797	 0.318796	 0.318795	 0.318794	 0.318792	 0.31879	 0.318788	 0.318785	 0.318782	 0.319173	 0.320546	 0.322897	 0.326208	 0.330443	 0.335573	 0.341554	 0.348337	 0.355891	 0.364171	 0.373117	 0.382675	 0.392802	 0.403464	 0.41462	 0.426228	 0.438251	 0.450658	 0.463417	 0.476495	 0.489871	 0.503522	 0.517427	 
0.0726562	 -1.385	 -0.423	 -0.5	 -1.34933	 -0.414035	 -0.500044	 -1.31367	 -0.40507	 -0.500045	 -1.278	 -0.396105	 -0.500045	 -1.24234	 -0.38714	 -0.500045	 -1.20667	 -0.378175	 -0.500045	 -1.17101	 -0.36921	 -0.500045	 -1.13534	 -0.360246	 -0.500045	 -1.09968	 -0.351281	 -0.500045	 -1.06401	 -0.342316	 -0.500045	 -1.02835	 -0.333351	 -0.500045	 -0.992681	 -0.324386	 -0.500045	 -0.957016	 -0.315421	 -0.500045	 -0.921351	 -0.306456	 -0.500045	 -0.885686	 -0.297492	 -0.500045	 -0.850022	 -0.288527	 -0.500045	 -0.814359	 -0.279563	 -0.500044	 -0.778698	 -0.270599	 -0.500006	 -0.743082	 -0.261646	 -0.498186	 -0.707622	 -0.252733	 -0.494311	 -0.672422	 -0.243885	 -0.488439	 -0.637579	 -0.235127	 -0.480628	 -0.603183	 -0.226481	 -0.470938	 -0.569303	 -0.217965	 -0.459468	 -0.536015	 -0.209598	 -0.446274	 -0.503373	 -0.201393	 -0.431448	 -0.471414	 -0.193359	 -0.415094	 -0.440175	 -0.185507	 -0.397298	 -0.409672	 -0.17784	 -0.378161	 -0.379917	 -0.170361	 -0.357783	 -0.350917	 -0.163071	 -0.336248	 -0.322671	 -0.155971	 -0.313646	 -0.295171	 -0.149059	 -0.29006	 -0.268408	 -0.142331	 -0.265566	 -0.242359	 -0.135784	 -0.240242	 -0.217008	 -0.129411	 -0.214153	 -0.192349	 -0.123213	 -0.187347	 -0.168359	 -0.117183	 -0.159882	 -0.144972	 -0.111304	 -0.131845	 -0.122137	 -0.105564	 -0.103308	 -0.1	 -0.1	 -0.0741696	 0.318806	 0.318804	 0.318802	 0.318798	 0.318793	 0.318787	 0.318778	 0.318766	 0.318749	 0.31872	 0.31867	 0.318579	 0.318416	 0.318129	 0.317639	 0.316841	 0.315606	 0.314185	 0.313085	 0.31227	 0.311829	 0.312048	 0.313378	 0.316377	 0.321565	 0.329219	 0.33926	 0.351231	 0.364413	 0.378057	 0.3916	 0.404776	 0.417599	 0.430244	 0.442913	 0.455763	 0.468874	 0.482249	 0.495848	 0.509707	 
0.1	 -1.385	 -0.423	 -0.5	 -1.34935	 -0.414039	 -0.500044	 -1.3137	 -0.405077	 -0.500045	 -1.27805	 -0.396116	 -0.500045	 -1.2424	 -0.387156	 -0.500045	 -1.20675	 -0.378196	 -0.500045	 -1.17111	 -0.369236	 -0.500045	 -1.13547	 -0.360277	 -0.500045	 -1.09982	 -0.351318	 -0.500045	 -1.06418	 -0.342359	 -0.500045	 -1.02854	 -0.3334	 -0.500045	 -0.992898	 -0.32444	 -0.500045	 -0.957253	 -0.315481	 -0.500045	 -0.921606	 -0.30652	 -0.500045	 -0.885957	 -0.29756	 -0.500045	 -0.850306	 -0.288598	 -0.500045	 -0.814654	 -0.279637	 -0.500044	 -0.779001	 -0.270675	 -0.500006	 -0.743385	 -0.261722	 -0.49831	 -0.707922	 -0.252808	 -0.494503	 -0.672718	 -0.243959	 -0.488672	 -0.637869	 -0.2352	 -0.480887	 -0.603458	 -0.22655	 -0.471238	 -0.569572	 -0.218032	 -0.459776	 -0.536272	 -0.209662	 -0.446597	 -0.503613	 -0.201453	 -0.431792	 -0.471638	 -0.193416	 -0.415456	 -0.440373	 -0.185557	 -0.397694	 -0.409852	 -0.177885	 -0.378577	 -0.380095	 -0.170405	 -0.358195	 -0.351092	 -0.163115	 -0.336661	 -0.322838	 -0.156013	 -0.314067	 -0.295327	 -0.149098	 -0.290494	 -0.268547	 -0.142366	 -0.266019	 -0.242491	 -0.135817	 -0.240705	 -0.217139	 -0.129444	 -0.214619	 -0.192443	 -0.123237	 -0.187851	 -0.168349	 -0.11718	 -0.160483	 -0.144899	 -0.111286	 -0.132505	 -0.12213	 -0.105563	 -0.103913	 -0.1	 -0.1	 -0.0747703	 0.30718	 0.306672	 0.305718	 0.304439	 0.302998	 0.301587	 0.300402	 0.299615	 0.299352	 0.299668	 0.300542	 0.301875	 0.303505	 0.305226	 0.30682	 0.308075	 0.308812	 0.309229	 0.309929	 0.310925	 0.312304	 0.314277	 0.317181	 0.321411	 0.327302	 0.335035	 0.344541	 0.355515	 0.367487	 0.379943	 0.392489	 0.404942	 0.417304	 0.429687	 0.442221	 0.454985	 0.467995	 0.481266	 0.494837	 0.508707	 
0.133333	 -1.385	 -0.423	 -0.5	 -1.34937	 -0.414044	 -0.500044	 -1.31374	 -0.405087	 -0.500045	 -1.27811	 -0.396131	 -0.500045	 -1.24248	 -0.387175	 -0.500045	 -1.20685	 -0.378219	 -0.500045	 -1.17122	 -0.369263	 -0.500045	 -1.13559	 -0.360307	 -0.500045	 -1.09996	 -0.351351	 -0.500045	 -1.06433	 -0.342395	 -0.500045	 -1.02869	 -0.333438	 -0.500045	 -0.993061	 -0.324482	 -0.500045	 -0.957428	 -0.315525	 -0.500045	 -0.921795	 -0.306568	 -0.500045	 -0.886161	 -0.297611	 -0.500045	 -0.850527	 -0.288654	 -0.500045	 -0.814894	 -0.279697	 -0.500044	 -0.779261	 -0.27074	 -0.500008	 -0.743658	 -0.261791	 -0.498537	 -0.708198	 -0.252878	 -0.494926	 -0.672996	 -0.244029	 -0.489221	 -0.638151	 -0.235271	 -0.481509	 -0.603751	 -0.226624	 -0.471875	 -0.569867	 -0.218107	 -0.460434	 -0.536562	 -0.209735	 -0.447277	 -0.50389	 -0.201522	 -0.432497	 -0.471897	 -0.193481	 -0.416181	 -0.440625	 -0.18562	 -0.398412	 -0.410088	 -0.177944	 -0.379304	 -0.380297	 -0.170456	 -0.358958	 -0.351266	 -0.163159	 -0.337449	 -0.322994	 -0.156052	 -0.314868	 -0.295469	 -0.149134	 -0.291302	 -0.268676	 -0.142399	 -0.266834	 -0.242573	 -0.135838	 -0.241563	 -0.217124	 -0.12944	 -0.215571	 -0.19236	 -0.123216	 -0.188861	 -0.168316	 -0.117172	 -0.16144	 -0.144889	 -0.111283	 -0.133434	 -0.122103	 -0.105556	 -0.104849	 -0.0999999	 -0.1	 -0.0756778	 0.290854	 0.290702	 0.290435	 0.290117	 0.289827	 0.289648	 0.289643	 0.289848	 0.290264	 0.290848	 0.291521	 0.292176	 0.29269	 0.292947	 0.292862	 0.292413	 0.291666	 0.29103	 0.291515	 0.29345	 0.297102	 0.302633	 0.310029	 0.319072	 0.329388	 0.340522	 0.352056	 0.363678	 0.375233	 0.386724	 0.398249	 0.409918	 0.421822	 0.434005	 0.446465	 0.45921	 0.472275	 0.485633	 0.499244	 0.513129	 
0.166667	 -1.385	 -0.423	 -0.5	 -1.34938	 -0.414045	 -0.500044	 -1.31375	 -0.405091	 -0.500045	 -1.27812	 -0.396136	 -0.500045	 -1.2425	 -0.38718	 -0.500045	 -1.20686	 -0.378223	 -0.500045	 -1.17123	 -0.369266	 -0.500045	 -1.13559	 -0.360309	 -0.500045	 -1.09995	 -0.351351	 -0.500045	 -1.06431	 -0.342392	 -0.500045	 -1.02867	 -0.333432	 -0.500045	 -0.993027	 -0.324473	 -0.500045	 -0.957383	 -0.315513	 -0.500045	 -0.921739	 -0.306554	 -0.500045	 -0.886096	 -0.297594	 -0.500045	 -0.850453	 -0.288635	 -0.500045	 -0.814813	 -0.279677	 -0.500044	 -0.779174	 -0.270719	 -0.500011	 -0.743555	 -0.261765	 -0.49886	 -0.70807	 -0.252846	 -0.495487	 -0.672839	 -0.24399	 -0.489949	 -0.637972	 -0.235226	 -0.482337	 -0.603558	 -0.226575	 -0.472758	 -0.569673	 -0.218058	 -0.461327	 -0.536378	 -0.209689	 -0.448152	 -0.503728	 -0.201482	 -0.433336	 -0.47176	 -0.193446	 -0.416986	 -0.440499	 -0.185588	 -0.399217	 -0.409972	 -0.177915	 -0.380113	 -0.380195	 -0.17043	 -0.359767	 -0.351168	 -0.163134	 -0.338276	 -0.322888	 -0.156025	 -0.315728	 -0.295334	 -0.149099	 -0.292222	 -0.268478	 -0.142349	 -0.26785	 -0.242344	 -0.13578	 -0.242635	 -0.216962	 -0.1294	 -0.216595	 -0.192255	 -0.123189	 -0.18985	 -0.16821	 -0.117145	 -0.162449	 -0.14486	 -0.111276	 -0.134395	 -0.122097	 -0.105555	 -0.105809	 -0.0999998	 -0.1	 -0.0766521	 0.28494	 0.285603	 0.286867	 0.288614	 0.290686	 0.292906	 0.2951	 0.297112	 0.298816	 0.300125	 0.300984	 0.301369	 0.301273	 0.300708	 0.299708	 0.298337	 0.296709	 0.29514	 0.29466	 0.295623	 0.298216	 0.30253	 0.308526	 0.316024	 0.324728	 0.334285	 0.344361	 0.354725	 0.365273	 0.376002	 0.386972	 0.398256	 0.409897	 0.421925	 0.434374	 0.447212	 0.460372	 0.473833	 0.487545	 0.501476	 
0.2	 -1.385	 -0.423	 -0.5	 -1.34936	 -0.414041	 -0.500044	 -1.31371	 -0.405081	 -0.500045	 -1.27807	 -0.396122	 -0.500045	 -1.24242	 -0.387162	 -0.500045	 -1.20677	 -0.378201	 -0.500045	 -1.17113	 -0.36924	 -0.500045	 -1.13547	 -0.360279	 -0.500045	 -1.09982	 -0.351317	 -0.500045	 -1.06417	 -0.342355	 -0.500045	 -1.02851	 -0.333393	 -0.500045	 -0.992861	 -0.324431	 -0.500045	 -0.957208	 -0.315469	 -0.500045	 -0.921557	 -0.306508	 -0.500045	 -0.885907	 -0.297547	 -0.500045	 -0.85026	 -0.288587	 -0.500045	 -0.814616	 -0.279627	 -0.500044	 -0.778975	 -0.270669	 -0.500015	 -0.743349	 -0.261713	 -0.499091	 -0.70784	 -0.252788	 -0.495981	 -0.672574	 -0.243923	 -0.490696	 -0.637668	 -0.235149	 -0.483283	 -0.60322	 -0.22649	 -0.473846	 -0.569319	 -0.217969	 -0.462479	 -0.536025	 -0.2096	 -0.449315	 -0.503384	 -0.201395	 -0.434492	 -0.471429	 -0.193363	 -0.41813	 -0.440189	 -0.185511	 -0.400337	 -0.40968	 -0.177842	 -0.381219	 -0.379909	 -0.170359	 -0.360878	 -0.350869	 -0.163059	 -0.33942	 -0.322545	 -0.155939	 -0.316945	 -0.294959	 -0.149005	 -0.293492	 -0.268151	 -0.142267	 -0.269076	 -0.242079	 -0.135713	 -0.243806	 -0.216701	 -0.129334	 -0.217773	 -0.192058	 -0.12314	 -0.190978	 -0.168062	 -0.117108	 -0.163544	 -0.144718	 -0.111241	 -0.135495	 -0.122032	 -0.105538	 -0.106857	 -0.0999997	 -0.1	 -0.0776582	 0.300364	 0.300833	 0.30172	 0.302929	 0.30433	 0.305776	 0.307117	 0.308216	 0.308961	 0.30927	 0.309094	 0.308414	 0.307241	 0.305607	 0.303575	 0.301236	 0.29872	 0.296292	 0.294942	 0.295054	 0.2968	 0.300259	 0.305396	 0.312058	 0.319978	 0.32885	 0.338394	 0.348398	 0.358735	 0.369358	 0.380266	 0.391498	 0.403122	 0.415157	 0.427563	 0.440331	 0.453429	 0.46681	 0.480465	 0.494388	 
0.233333	 -1.385	 -0.423	 -0.5	 -1.34936	 -0.414041	 -0.500044	 -1.31372	 -0.405082	 -0.500045	 -1.27808	 -0.396123	 -0.500045	 -1.24243	 -0.387164	 -0.500045	 -1.20679	 -0.378204	 -0.500045	 -1.17114	 -0.369244	 -0.500045	 -1.13549	 -0.360284	 -0.500045	 -1.09984	 -0.351323	 -0.500045	 -1.0642	 -0.342362	 -0.500045	 -1.02854	 -0.333401	 -0.500045	 -0.992894	 -0.324439	 -0.500045	 -0.957243	 -0.315478	 -0.500045	 -0.921592	 -0.306517	 -0.500045	 -0.885942	 -0.297556	 -0.500045	 -0.850292	 -0.288595	 -0.500045	 -0.814643	 -0.279634	 -0.500044	 -0.778995	 -0.270674	 -0.500019	 -0.743355	 -0.261715	 -0.499285	 -0.707817	 -0.252782	 -0.496399	 -0.672504	 -0.243906	 -0.491364	 -0.637531	 -0.235115	 -0.484215	 -0.603015	 -0.226439	 -0.474981	 -0.569043	 -0.2179	 -0.463787	 -0.535686	 -0.209515	 -0.450748	 -0.503001	 -0.201299	 -0.435989	 -0.47102	 -0.19326	 -0.419647	 -0.439763	 -0.185403	 -0.401855	 -0.409231	 -0.177729	 -0.382749	 -0.379419	 -0.170235	 -0.362447	 -0.350351	 -0.162929	 -0.341007	 -0.322068	 -0.155819	 -0.318457	 -0.294551	 -0.148903	 -0.2949	 -0.267754	 -0.142167	 -0.270456	 -0.241709	 -0.13562	 -0.245141	 -0.216377	 -0.129253	 -0.219048	 -0.191726	 -0.123056	 -0.19225	 -0.16781	 -0.117045	 -0.164731	 -0.144558	 -0.1112	 -0.136593	 -0.121971	 -0.105523	 -0.107862	 -0.0999995	 -0.1	 -0.0786069	 0.298765	 0.299116	 0.299783	 0.300703	 0.301789	 0.302945	 0.304071	 0.30508	 0.305902	 0.30649	 0.30682	 0.306893	 0.306726	 0.306354	 0.305822	 0.305187	 0.304513	 0.303939	 0.304301	 0.305904	 0.308806	 0.313032	 0.318528	 0.325162	 0.332772	 0.34117	 0.350173	 0.359626	 0.369415	 0.379496	 0.389892	 0.400625	 0.411677	 0.423063	 0.434811	 0.446922	 0.459435	 0.472375	 0.485737	 0.499519	 
