Time	 FAIRTEN1	 FAIRTEN3	 ANCHTEN1	 ANCHTEN3	 
(s)	 (N)     	 (N)     	 (N)     	 (N)     	 
0	 0.524592	 0.524592	 0.318883	 0.318883	 
0.0270833	 0.52453	 0.52453	 0.31889	 0.31889	 
0.0453125	 0.524464	 0.524464	 0.318939	 0.318939	 
0.0726562	 0.516846	 0.516845	 0.318935	 0.318935	 
0.1	 0.516036	 0.516034	 0.304782	 0.304781	 
0.133333	 0.520448	 0.520446	 0.290266	 0.290262	 
0.166667	 0.507306	 0.507302	 0.285305	 0.285296	 
0.2	 0.501782	 0.501776	 0.300515	 0.300504	 
0.233333	 0.507237	 0.507227	 0.298085	 0.298067	 
0.266667	 0.519858	 0.519845	 0.305022	 0.304995	 
0.3	 0.511947	 0.511926	 0.318756	 0.318716	 
0.333333	 0.510937	 0.510906	 0.331749	 0.331694	 
0.366667	 0.517835	 0.517791	 0.325914	 0.325836	 
0.4	 0.521012	 0.520954	 0.326099	 0.325991	 
0.433333	 0.508485	 0.508403	 0.330553	 0.33041	 
0.466667	 0.504588	 0.50447	 0.328582	 0.328398	 
0.5	 0.508608	 0.508445	 0.315259	 0.315008	 
0.533333	 0.509227	 0.509001	 0.311384	 0.31105	 
0.566667	 0.503075	 0.502772	 0.315274	 0.314797	 
0.6	 0.50684	 0.50644	 0.31467	 0.314078	 
0.625	 0.51479	 0.514252	 0.305912	 0.305294	 
0.65	 0.51906	 0.518427	 0.300994	 0.300498	 
0.675	 0.521345	 0.520565	 0.305568	 0.30489	 
0.7	 0.519607	 0.518662	 0.320062	 0.319064	 
0.72	 0.512277	 0.511343	 0.320233	 0.318995	 
0.746667	 0.521339	 0.520128	 0.316916	 0.315517	 
0.773333	 0.528441	 0.526889	 0.308975	 0.30734	 
0.8	 0.524757	 0.522954	 0.313212	 0.311306	 
0.833333	 0.514844	 0.512879	 0.314654	 0.312145	 
0.855556	 0.518933	 0.516265	 0.316362	 0.313128	 
0.877778	 0.517967	 0.515098	 0.313647	 0.310724	 
0.9	 0.522809	 0.519338	 0.29462	 0.292792	 
0.925	 0.524297	 0.519853	 0.311476	 0.30742	 
0.95	 0.518329	 0.514859	 0.314599	 0.309991	 
0.975	 0.514078	 0.509996	 0.319077	 0.313327	 
1	 0.523151	 0.517432	 0.317914	 0.311853	 
1.025	 0.525438	 0.518275	 0.310769	 0.305096	 
1.05	 0.526508	 0.518499	 0.315246	 0.307875	 
1.075	 0.521235	 0.513217	 0.320578	 0.311632	 
1.1	 0.516753	 0.508221	 0.322707	 0.312373	 
1.125	 0.522145	 0.511695	 0.322519	 0.311445	 
1.15	 0.525812	 0.513589	 0.319359	 0.307951	 
1.175	 0.527041	 0.513602	 0.321578	 0.30884	 
1.2	 0.52417	 0.510118	 0.327237	 0.312455	 
1.23333	 0.520724	 0.505601	 0.330905	 0.313639	 
1.26667	 0.526873	 0.508999	 0.334693	 0.30798	 
1.3	 0.531179	 0.50933	 0.335613	 0.313233	 
1.33333	 0.532394	 0.503657	 0.340624	 0.31427	 
1.36667	 0.534168	 0.507112	 0.342115	 0.310228	 
1.4	 0.541365	 0.50953	 0.340574	 0.302543	 
1.43333	 0.545046	 0.50705	 0.33875	 0.3017	 
1.46667	 0.542865	 0.501285	 0.340033	 0.29822	 
1.5	 0.542948	 0.501759	 0.33851	 0.291256	 
1.53333	 0.547623	 0.501867	 0.334194	 0.284726	 
1.56667	 0.551224	 0.49974	 0.33346	 0.284585	 
1.6	 0.551425	 0.498506	 0.337131	 0.284373	 
1.63333	 0.554037	 0.501562	 0.339489	 0.283209	 
1.66667	 0.559849	 0.502791	 0.338744	 0.283078	 
1.7	 0.562612	 0.50046	 0.339698	 0.284231	 
1.73333	 0.560026	 0.497568	 0.341366	 0.281911	 
