# Motion State      
# Angle Units       : radians
# Time              	centreOfRotation	centreOfMass	rotation	velocity	omega
0                   	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
0.0125              	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
0.0270833           	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 -1.600000000000e-02)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
0.0453125           	(3.430052605527e-09 0.000000000000e+00 -1.608136818518e-02)	(3.430052605527e-09 0.000000000000e+00 -1.608136818518e-02)	(0.000000000000e+00 2.268285962440e-08 0.000000000000e+00)	(3.767024740519e-07 0.000000000000e+00 -8.936188505338e-03)	(0.000000000000e+00 2.491124868515e-06 0.000000000000e+00)
0.0726563           	(2.097391245031e-08 0.000000000000e+00 -1.639698943795e-02)	(2.097391245031e-08 0.000000000000e+00 -1.639698943795e-02)	(0.000000000000e+00 1.345646107565e-07 0.000000000000e+00)	(9.070358937288e-07 0.000000000000e+00 -1.415446997869e-02)	(0.000000000000e+00 5.695430378946e-06 0.000000000000e+00)
0.1                 	(5.579051256200e-08 0.000000000000e+00 -1.684373630074e-02)	(5.579051256200e-08 0.000000000000e+00 -1.684373630074e-02)	(0.000000000000e+00 3.452126375707e-07 0.000000000000e+00)	(1.640282961508e-06 0.000000000000e+00 -1.852624375920e-02)	(0.000000000000e+00 9.715988714082e-06 0.000000000000e+00)
0.133333            	(1.276783972965e-07 0.000000000000e+00 -1.753262709639e-02)	(1.276783972965e-07 0.000000000000e+00 -1.753262709639e-02)	(0.000000000000e+00 7.590108476437e-07 0.000000000000e+00)	(2.674023863467e-06 0.000000000000e+00 -2.281148922548e-02)	(0.000000000000e+00 1.511730520879e-05 0.000000000000e+00)
0.166667            	(2.448852780878e-07 0.000000000000e+00 -1.834216511190e-02)	(2.448852780878e-07 0.000000000000e+00 -1.834216511190e-02)	(0.000000000000e+00 1.412970938507e-06 0.000000000000e+00)	(4.360075035177e-06 0.000000000000e+00 -2.576374395977e-02)	(0.000000000000e+00 2.412931225207e-05 0.000000000000e+00)
0.2                 	(4.301982376756e-07 0.000000000000e+00 -1.921897199141e-02)	(4.301982376756e-07 0.000000000000e+00 -1.921897199141e-02)	(0.000000000000e+00 2.404961036877e-06 0.000000000000e+00)	(6.761103568627e-06 0.000000000000e+00 -2.684575081786e-02)	(0.000000000000e+00 3.540136570554e-05 0.000000000000e+00)
0.233333            	(7.140122029716e-07 0.000000000000e+00 -2.010166124334e-02)	(7.140122029716e-07 0.000000000000e+00 -2.010166124334e-02)	(0.000000000000e+00 3.836861174621e-06 0.000000000000e+00)	(1.027124449005e-05 0.000000000000e+00 -2.611487342015e-02)	(0.000000000000e+00 5.052776896439e-05 0.000000000000e+00)
0.266667            	(1.138368082383e-06 0.000000000000e+00 -2.093393799470e-02)	(1.138368082383e-06 0.000000000000e+00 -2.093393799470e-02)	(0.000000000000e+00 5.853581232823e-06 0.000000000000e+00)	(1.519503206222e-05 0.000000000000e+00 -2.381943622418e-02)	(0.000000000000e+00 7.049540216292e-05 0.000000000000e+00)
0.3                 	(1.758677562693e-06 0.000000000000e+00 -2.166841897239e-02)	(1.758677562693e-06 0.000000000000e+00 -2.166841897239e-02)	(0.000000000000e+00 8.633814589623e-06 0.000000000000e+00)	(2.203037209641e-05 0.000000000000e+00 -2.024584885024e-02)	(0.000000000000e+00 9.634444829318e-05 0.000000000000e+00)
0.333333            	(2.653345656675e-06 0.000000000000e+00 -2.226290153405e-02)	(2.653345656675e-06 0.000000000000e+00 -2.226290153405e-02)	(0.000000000000e+00 1.239261305744e-05 0.000000000000e+00)	(3.165934251296e-05 0.000000000000e+00 -1.541827727738e-02)	(0.000000000000e+00 1.292163316612e-04 0.000000000000e+00)
0.366667            	(3.919895318718e-06 0.000000000000e+00 -2.268256801809e-02)	(3.919895318718e-06 0.000000000000e+00 -2.268256801809e-02)	(0.000000000000e+00 1.739707067672e-05 0.000000000000e+00)	(4.434632419129e-05 0.000000000000e+00 -9.756049537632e-03)	(0.000000000000e+00 1.710930021682e-04 0.000000000000e+00)
0.4                 	(5.669842798896e-06 0.000000000000e+00 -2.290761457053e-02)	(5.669842798896e-06 0.000000000000e+00 -2.290761457053e-02)	(0.000000000000e+00 2.388930319664e-05 0.000000000000e+00)	(6.066684514034e-05 0.000000000000e+00 -3.740728287383e-03)	(0.000000000000e+00 2.184883443709e-04 0.000000000000e+00)
0.433333            	(8.054677591968e-06 0.000000000000e+00 -2.293164809566e-02)	(8.054677591968e-06 0.000000000000e+00 -2.293164809566e-02)	(0.000000000000e+00 3.209923237031e-05 0.000000000000e+00)	(8.244502061941e-05 0.000000000000e+00 2.304762270411e-03)	(0.000000000000e+00 2.741630807877e-04 0.000000000000e+00)
0.466667            	(1.125708917834e-05 0.000000000000e+00 -2.275878320124e-02)	(1.125708917834e-05 0.000000000000e+00 -2.275878320124e-02)	(0.000000000000e+00 4.240512080501e-05 0.000000000000e+00)	(1.097269564989e-04 0.000000000000e+00 8.072899531833e-03)	(0.000000000000e+00 3.442603225380e-04 0.000000000000e+00)
0.5                 	(1.554492155801e-05 0.000000000000e+00 -2.240091733268e-02)	(1.554492155801e-05 0.000000000000e+00 -2.240091733268e-02)	(0.000000000000e+00 5.571978821584e-05 0.000000000000e+00)	(1.475808401652e-04 0.000000000000e+00 1.340438406651e-02)	(0.000000000000e+00 4.547301919835e-04 0.000000000000e+00)
0.533333            	(2.121538075385e-05 0.000000000000e+00 -2.188322897091e-02)	(2.121538075385e-05 0.000000000000e+00 -2.188322897091e-02)	(0.000000000000e+00 7.249849421831e-05 0.000000000000e+00)	(1.926918225671e-04 0.000000000000e+00 1.766117443006e-02)	(0.000000000000e+00 5.520895275023e-04 0.000000000000e+00)
0.566667            	(2.857801593132e-05 0.000000000000e+00 -2.124446413978e-02)	(2.857801593132e-05 0.000000000000e+00 -2.124446413978e-02)	(0.000000000000e+00 9.295279255552e-05 0.000000000000e+00)	(2.491227189779e-04 0.000000000000e+00 2.066772198478e-02)	(0.000000000000e+00 6.752915747794e-04 0.000000000000e+00)
0.6                 	(3.805406991441e-05 0.000000000000e+00 -2.052695530779e-02)	(3.805406991441e-05 0.000000000000e+00 -2.052695530779e-02)	(0.000000000000e+00 1.178580718894e-04 0.000000000000e+00)	(3.195109081965e-04 0.000000000000e+00 2.238452473778e-02)	(0.000000000000e+00 8.191690627403e-04 0.000000000000e+00)
0.625               	(4.685921748635e-05 0.000000000000e+00 -1.996524598825e-02)	(4.685921748635e-05 0.000000000000e+00 -1.996524598825e-02)	(0.000000000000e+00 1.399241423635e-04 0.000000000000e+00)	(3.849663530037e-04 0.000000000000e+00 2.255238868914e-02)	(0.000000000000e+00 9.462436497790e-04 0.000000000000e+00)
0.65                	(5.749495829164e-05 0.000000000000e+00 -1.941056812594e-02)	(5.749495829164e-05 0.000000000000e+00 -1.941056812594e-02)	(0.000000000000e+00 1.652515337065e-04 0.000000000000e+00)	(4.659739189855e-04 0.000000000000e+00 2.182110901570e-02)	(0.000000000000e+00 1.080081495506e-03 0.000000000000e+00)
0.675               	(7.024236123842e-05 0.000000000000e+00 -1.888358500321e-02)	(7.024236123842e-05 0.000000000000e+00 -1.888358500321e-02)	(0.000000000000e+00 1.940902038379e-04 0.000000000000e+00)	(5.539062490868e-04 0.000000000000e+00 2.033605574975e-02)	(0.000000000000e+00 1.227159192710e-03 0.000000000000e+00)
0.7                 	(8.538142882422e-05 0.000000000000e+00 -1.840175140237e-02)	(8.538142882422e-05 0.000000000000e+00 -1.840175140237e-02)	(0.000000000000e+00 2.266585835440e-04 0.000000000000e+00)	(6.573225741022e-04 0.000000000000e+00 1.820850476652e-02)	(0.000000000000e+00 1.378462487071e-03 0.000000000000e+00)
0.72                	(9.938934092867e-05 0.000000000000e+00 -1.805898568094e-02)	(9.938934092867e-05 0.000000000000e+00 -1.805898568094e-02)	(0.000000000000e+00 2.558214492244e-04 0.000000000000e+00)	(7.435548686371e-04 0.000000000000e+00 1.606592479639e-02)	(0.000000000000e+00 1.537983602090e-03 0.000000000000e+00)
0.746667            	(1.209372723595e-04 0.000000000000e+00 -1.767217161459e-02)	(1.209372723595e-04 0.000000000000e+00 -1.767217161459e-02)	(0.000000000000e+00 3.000504426975e-04 0.000000000000e+00)	(8.726691029073e-04 0.000000000000e+00 1.294200626104e-02)	(0.000000000000e+00 1.779432357142e-03 0.000000000000e+00)
0.773333            	(1.462389029353e-04 0.000000000000e+00 -1.737576503887e-02)	(1.462389029353e-04 0.000000000000e+00 -1.737576503887e-02)	(0.000000000000e+00 3.507897046809e-04 0.000000000000e+00)	(1.025105626808e-03 0.000000000000e+00 9.284829741840e-03)	(0.000000000000e+00 2.026259118379e-03 0.000000000000e+00)
0.8                 	(1.759606025450e-04 0.000000000000e+00 -1.718044274667e-02)	(1.759606025450e-04 0.000000000000e+00 -1.718044274667e-02)	(0.000000000000e+00 4.080661878489e-04 0.000000000000e+00)	(1.204200939227e-03 0.000000000000e+00 5.360417761366e-03)	(0.000000000000e+00 2.269720580684e-03 0.000000000000e+00)
0.833333            	(2.203976081506e-04 0.000000000000e+00 -1.708205185750e-02)	(2.203976081506e-04 0.000000000000e+00 -1.708205185750e-02)	(0.000000000000e+00 4.879314524148e-04 0.000000000000e+00)	(1.462277473644e-03 0.000000000000e+00 5.382133843541e-04)	(0.000000000000e+00 2.522448020716e-03 0.000000000000e+00)
0.855556            	(2.550918651112e-04 0.000000000000e+00 -1.710412040757e-02)	(2.550918651112e-04 0.000000000000e+00 -1.710412040757e-02)	(0.000000000000e+00 5.499113213571e-04 0.000000000000e+00)	(1.660403779117e-03 0.000000000000e+00 -2.527448553133e-03)	(0.000000000000e+00 3.056274010079e-03 0.000000000000e+00)
0.877778            	(2.943588081390e-04 0.000000000000e+00 -1.719082749949e-02)	(2.943588081390e-04 0.000000000000e+00 -1.719082749949e-02)	(0.000000000000e+00 6.216750332564e-04 0.000000000000e+00)	(1.873834524130e-03 0.000000000000e+00 -5.278941212316e-03)	(0.000000000000e+00 3.402806593445e-03 0.000000000000e+00)
0.9                 	(3.386545165820e-04 0.000000000000e+00 -1.733553323005e-02)	(3.386545165820e-04 0.000000000000e+00 -1.733553323005e-02)	(0.000000000000e+00 7.007994111506e-04 0.000000000000e+00)	(2.113018419640e-03 0.000000000000e+00 -7.747042639428e-03)	(0.000000000000e+00 3.718703313755e-03 0.000000000000e+00)
0.925               	(3.951735933551e-04 0.000000000000e+00 -1.755909525958e-02)	(3.951735933551e-04 0.000000000000e+00 -1.755909525958e-02)	(0.000000000000e+00 7.972394158293e-04 0.000000000000e+00)	(2.408803507290e-03 0.000000000000e+00 -1.014031299276e-02)	(0.000000000000e+00 3.996775132357e-03 0.000000000000e+00)
0.95                	(4.592922787375e-04 0.000000000000e+00 -1.783574286324e-02)	(4.592922787375e-04 0.000000000000e+00 -1.783574286324e-02)	(0.000000000000e+00 9.007439067289e-04 0.000000000000e+00)	(2.721003523321e-03 0.000000000000e+00 -1.199334833608e-02)	(0.000000000000e+00 4.283871235719e-03 0.000000000000e+00)
0.975               	(5.317065005262e-04 0.000000000000e+00 -1.815015331074e-02)	(5.317065005262e-04 0.000000000000e+00 -1.815015331074e-02)	(0.000000000000e+00 1.012839429212e-03 0.000000000000e+00)	(3.072485701952e-03 0.000000000000e+00 -1.316065476999e-02)	(0.000000000000e+00 4.684170862556e-03 0.000000000000e+00)
1                   	(6.132357517969e-04 0.000000000000e+00 -1.848505576448e-02)	(6.132357517969e-04 0.000000000000e+00 -1.848505576448e-02)	(0.000000000000e+00 1.134977516439e-03 0.000000000000e+00)	(3.450232146150e-03 0.000000000000e+00 -1.363201288722e-02)	(0.000000000000e+00 5.087279223927e-03 0.000000000000e+00)
1.025               	(7.043857645600e-04 0.000000000000e+00 -1.882444655444e-02)	(7.043857645600e-04 0.000000000000e+00 -1.882444655444e-02)	(0.000000000000e+00 1.266653975526e-03 0.000000000000e+00)	(3.842160803558e-03 0.000000000000e+00 -1.351913743425e-02)	(0.000000000000e+00 5.447197421284e-03 0.000000000000e+00)
1.05                	(8.055111068791e-04 0.000000000000e+00 -1.915310357965e-02)	(8.055111068791e-04 0.000000000000e+00 -1.915310357965e-02)	(0.000000000000e+00 1.406373200396e-03 0.000000000000e+00)	(4.248272693860e-03 0.000000000000e+00 -1.277267812350e-02)	(0.000000000000e+00 5.730623994858e-03 0.000000000000e+00)
1.075               	(9.170710865002e-04 0.000000000000e+00 -1.945557316770e-02)	(9.170710865002e-04 0.000000000000e+00 -1.945557316770e-02)	(0.000000000000e+00 1.552662226629e-03 0.000000000000e+00)	(4.676954357492e-03 0.000000000000e+00 -1.142353978161e-02)	(0.000000000000e+00 5.972740220018e-03 0.000000000000e+00)
1.1                 	(1.039693661439e-03 0.000000000000e+00 -1.971688995783e-02)	(1.039693661439e-03 0.000000000000e+00 -1.971688995783e-02)	(0.000000000000e+00 1.705113157728e-03 0.000000000000e+00)	(5.133307991271e-03 0.000000000000e+00 -9.479859748746e-03)	(0.000000000000e+00 6.223585112822e-03 0.000000000000e+00)
1.125               	(1.174128490863e-03 0.000000000000e+00 -1.992325970400e-02)	(1.174128490863e-03 0.000000000000e+00 -1.992325970400e-02)	(0.000000000000e+00 1.863691715338e-03 0.000000000000e+00)	(5.621967021614e-03 0.000000000000e+00 -7.027267352855e-03)	(0.000000000000e+00 6.462938849733e-03 0.000000000000e+00)
